aprobacion_presidencial,tendencia,word,n
Aprueba,Ninguno / Independiente,polìtica,2.2578
Aprueba,Centro Izquierda / Izquierda,cara,2.25776
Aprueba,Centro Derecha / Derecha,màs,2.24759
Aprueba,Centro Derecha / Derecha,nacional,2.24713
Aprueba,Centro Derecha / Derecha,futuro,2.24145
Aprueba,Centro Derecha / Derecha,becas,2.23659
Aprueba,Centro Derecha / Derecha,mapuche,2.21771
Aprueba,Centro Derecha / Derecha,cumpliendo,2.20501
Aprueba,Centro Derecha / Derecha,logrando,2.20451
Aprueba,Ninguno / Independiente,mercados,2.1868
Aprueba,Centro Derecha / Derecha,aborto,2.18639
Aprueba,Centro,problemas,2.1806
Aprueba,Centro,salud,2.17881
Aprueba,Centro,mejorar,2.17752
Aprueba,Centro Derecha / Derecha,duro,2.17533
Aprueba,Ninguno / Independiente,bio,2.17306
Aprueba,Centro Derecha / Derecha,partidos,2.1597
Aprueba,Centro Derecha / Derecha,indices,2.15623
Aprueba,Centro Derecha / Derecha,falta,2.15088
Aprueba,Centro Derecha / Derecha,opcion,2.15043
Aprueba,Centro Derecha / Derecha,beneficios,2.15037
Aprueba,Centro Derecha / Derecha,carabineros,2.14484
Aprueba,Centro Derecha / Derecha,buscando,2.13152
Aprueba,Centro,propuestas,2.10958
Aprueba,Centro Derecha / Derecha,unidad,2.10804
Aprueba,Centro Derecha / Derecha,aspectos,2.09734
Aprueba,Centro Derecha / Derecha,impulso,2.09634
Aprueba,Centro Derecha / Derecha,transparente,2.0839
Aprueba,Centro,inversionista,2.07472
Aprueba,Centro Derecha / Derecha,conozco,2.07389
Aprueba,Centro,tributaria,2.07264
Aprueba,Centro Derecha / Derecha,noticias,2.06875
Aprueba,Centro,estancado,2.06234
Aprueba,Ninguno / Independiente,aplica,2.0528
Aprueba,Centro Derecha / Derecha,opiniones,2.0519
Aprueba,Centro Derecha / Derecha,punto,2.04854
Aprueba,Centro Derecha / Derecha,realmente,2.0445
Aprueba,Centro Derecha / Derecha,ideologias,2.04374
Aprueba,Centro Derecha / Derecha,liderazgo,2.04274
Aprueba,Centro Derecha / Derecha,conduccion,2.03234
Aprueba,Centro Derecha / Derecha,actuar,2.0283
Aprueba,Centro Derecha / Derecha,voluntad,2.02685
Aprueba,Centro,ve,2.0233
Aprueba,Ninguno / Independiente,gallo,2.01822
Aprueba,Centro Izquierda / Izquierda,asunto,2.01467
Aprueba,Centro Derecha / Derecha,piensa,2.00594
Aprueba,Centro,promesas,2.00402
Aprueba,Centro Derecha / Derecha,profesional,2.0022
Aprueba,Centro Izquierda / Izquierda,bolivia,1.99811
Aprueba,Centro Izquierda / Izquierda,tratando,1.98991
Aprueba,Centro Izquierda / Izquierda,tranquilidad,1.96305
Aprueba,Centro Derecha / Derecha,intensiones,1.93646
Aprueba,Centro Derecha / Derecha,eficiente,1.93539
Aprueba,Centro Derecha / Derecha,supone,1.93223
Aprueba,Centro,comienzo,1.92942
Aprueba,Centro,enserio,1.92942
Aprueba,Centro,tomo,1.92942
Aprueba,Ninguno / Independiente,bonificacion,1.92835
Aprueba,Ninguno / Independiente,comentarios,1.92835
Aprueba,Ninguno / Independiente,entrevista,1.92835
Aprueba,Ninguno / Independiente,necesita,1.92835
Aprueba,Ninguno / Independiente,prensa,1.92835
Aprueba,Ninguno / Independiente,psyuepone,1.92835
Aprueba,Centro Derecha / Derecha,siento,1.92803
Aprueba,Centro,opiniones,1.92771
Aprueba,Centro Derecha / Derecha,megusta,1.91884
Aprueba,Centro Izquierda / Izquierda,mandato,1.9132
Aprueba,Centro Derecha / Derecha,respetuoso,1.91246
Aprueba,Centro Izquierda / Izquierda,ojala,1.9099
Aprueba,Ninguno / Independiente,dirige,1.90979
Aprueba,Ninguno / Independiente,loe,1.90295
