zona,tendencia,edad,sexo,aprobacion_presidencial,word,peso
Santiago,Centro,55 o+,Hombre,Desaprueba,caso,1.17884
Santiago,Centro,55 o+,Hombre,Desaprueba,cero,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,chica,3.10602
Santiago,Centro,55 o+,Hombre,Desaprueba,clara,1.3987
Santiago,Centro,55 o+,Hombre,Desaprueba,coalision,1.17884
Santiago,Centro,55 o+,Hombre,Desaprueba,concretan,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,concreto,1.17884
Santiago,Centro,55 o+,Hombre,Desaprueba,confianza,1.17884
Santiago,Centro,55 o+,Hombre,Desaprueba,cortan,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,cumpli,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,deberia,1.37773
Santiago,Centro,55 o+,Hombre,Desaprueba,dejan,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,delincuencia,2.57754
Santiago,Centro,55 o+,Hombre,Desaprueba,dirigente,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,division,1.17884
Santiago,Centro,55 o+,Hombre,Desaprueba,educacion,1.3987
Santiago,Centro,55 o+,Hombre,Desaprueba,empezaron,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,empleo,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,empresas,3.10602
Santiago,Centro,55 o+,Hombre,Desaprueba,esposa,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,estudiantes,1.37773
Santiago,Centro,55 o+,Hombre,Desaprueba,falta,1.37773
Santiago,Centro,55 o+,Hombre,Desaprueba,fantasía,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,ficha,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,gobierno,6.03676
Santiago,Centro,55 o+,Hombre,Desaprueba,gusta,1.37773
Santiago,Centro,55 o+,Hombre,Desaprueba,iban,1.55301
