aprobacion_presidencial,word,n
Desaprueba,disminuidos,1.87838
Desaprueba,eligir,1.87838
Desaprueba,obligan,1.87838
Desaprueba,tele,1.87838
Desaprueba,tendriamos,1.87838
Desaprueba,implementar,1.87652
Desaprueba,tasa,1.86382
Desaprueba,casos,1.85853
Desaprueba,cuestion,1.84522
Desaprueba,cercano,1.84103
Desaprueba,comuna,1.83771
Desaprueba,indigena,1.83337
Desaprueba,implementando,1.83286
Desaprueba,declaraciones,1.83257
Desaprueba,salido,1.82847
Desaprueba,situaciones,1.82805
Desaprueba,obviamente,1.82023
Desaprueba,norte,1.81982
Desaprueba,acuerda,1.81711
Desaprueba,discriminacion,1.81711
Desaprueba,funcionar,1.81711
Desaprueba,legales,1.81711
Desaprueba,respetado,1.81711
Desaprueba,labor,1.81639
Desaprueba,lecturas,1.81639
Desaprueba,segundas,1.81639
Desaprueba,lentitud,1.81615
Desaprueba,especialmente,1.80901
Desaprueba,demoraron,1.80745
Desaprueba,siglo,1.80745
Desaprueba,pequeña,1.80377
Desaprueba,distintas,1.80122
Desaprueba,bonos,1.80075
Desaprueba,bajas,1.79274
Desaprueba,promulgacion,1.78893
Desaprueba,equivoco,1.78022
Desaprueba,desaprueba,1.77856
Desaprueba,ámbito,1.77515
Desaprueba,burla,1.77372
Desaprueba,facebook,1.77372
Desaprueba,hablaba,1.77372
Desaprueba,podria,1.77372
Desaprueba,recien,1.77372
Desaprueba,reportaje,1.77372
Desaprueba,vi,1.77372
Desaprueba,inconcecuente,1.77301
Desaprueba,partidos,1.77247
Desaprueba,11,1.76826
Desaprueba,alguien,1.76826
Desaprueba,septiembre,1.76826
Desaprueba,unidad,1.76826
Desaprueba,dejado,1.76724
Desaprueba,120,1.76442
Desaprueba,hobrero,1.76442
Desaprueba,ideales,1.76134
Desaprueba,distinto,1.75644
Desaprueba,diferencia,1.75475
Desaprueba,matrimonio,1.75415
Desaprueba,deuda,1.75238
Desaprueba,quiero,1.75076
Desaprueba,ideología,1.74795
Desaprueba,abansando,1.7466
Desaprueba,medicos,1.7466
Desaprueba,completamente,1.74442
Desaprueba,básicamente,1.7421
Desaprueba,propuso,1.74043
Desaprueba,niun,1.73748
Desaprueba,yoescuchado,1.73748
Desaprueba,asegurar,1.7324
Desaprueba,desatino,1.7324
Desaprueba,quieren,1.72734
Desaprueba,corresponde,1.72542
Desaprueba,color,1.72182
Desaprueba,sinverguenza,1.71941
Desaprueba,pertenezcvo,1.71727
Desaprueba,presentando,1.71727
Desaprueba,socil,1.71727
Desaprueba,areas,1.71531
Desaprueba,favorable,1.71318
Desaprueba,medias,1.70596
Desaprueba,personales,1.704
Desaprueba,vas,1.70216
Desaprueba,adecuada,1.69621
Desaprueba,impunidad,1.69293
Desaprueba,instituciones,1.69275
Desaprueba,manejar,1.68933
Desaprueba,partidario,1.68764
Desaprueba,aguas,1.68352
Desaprueba,boca,1.67683
Desaprueba,ayudan,1.67536
Desaprueba,desmpleo,1.67143
Desaprueba,solucionada,1.67143
Desaprueba,aire,1.66924
Desaprueba,población,1.66924
Desaprueba,serio,1.66612
Desaprueba,mantenido,1.66135
Desaprueba,neoliberal,1.65152
Desaprueba,distinta,1.64932
Desaprueba,done,1.63774
Desaprueba,enrejado,1.63774
Desaprueba,ponerlos,1.63774
Desaprueba,generalmente,1.63448
Desaprueba,diputados,1.63311
Desaprueba,senadores,1.63311
Desaprueba,canasta,1.62989
Desaprueba,camino,1.6269
Desaprueba,podido,1.6242
Desaprueba,madre,1.61993
Desaprueba,pone,1.61904
Desaprueba,protestas,1.61662
Desaprueba,dirige,1.61574
Desaprueba,demora,1.61445
Desaprueba,suelo,1.61427
Desaprueba,honrados,1.61399
Desaprueba,nson,1.61399
Desaprueba,reyes,1.61399
Desaprueba,tierra,1.61399
Desaprueba,discursos,1.61352
Desaprueba,planes,1.60948
Desaprueba,ultima,1.60927
Desaprueba,humano,1.60689
Desaprueba,almacenes,1.6046
Desaprueba,chicos,1.6046
Desaprueba,hundan,1.6046
Desaprueba,hundiendo,1.6046
Desaprueba,obligando,1.6046
Desaprueba,olvidados,1.6046
Desaprueba,relevancia,1.6046
Desaprueba,sostenedora,1.6046
